Minimax-depth3,Minimax-depth2,Alpha-beta-depth3,Alpha-beta-depth2,Expectimax-depth3,Expectimax-depth2
53.03904685,30.36903744,39.4973307,20.64999068,23.55604907,12.38792829
283.3299776,14.40122886,317.4564714,41.31921044,9.263172654,5.234707459
55.0648463,42.33196223,21.94427077,34.31283393,12.81418427,9.780811787
784.4557254,40.31740484,214.1927039,31.57689115,6.64383183,5.973291561
73.14914863,27.36054738,44.27045537,15.15593109,24.96370206,16.60772558
189.2595964,7.333664876,105.9880821,8.723109996,8.869942255,11.73692597
135.4960325,39.3985019,202.6486742,7.082531967,42.98200114,9.292547763
361.919158,6.535940682,14.35249512,12.74529112,16.13296279,8.537176162
35.25563425,69.67628049,91.43059624,29.34809983,11.13540593,9.250444368
58.93652367,69.0475165,115.5772708,11.5453085,11.34498763,8.204616292
41.40282546,6.563602011,30.51904435,58.75721616,41.04081999,8.949942663
40.18248896,17.9881,54.67896293,7.482469389,13.08858971,5.984702435
34.03023555,103.1094426,74.86677039,7.648222483,10.97307266,8.723668373
30.499904,29.81035602,349.5893205,29.2909425,15.83012709,20.79975767
75.51305091,39.76536272,169.593576,7.712054987,18.10879581,22.69173017
137.6952128,26.19364569,24.80835625,23.39093196,10.6702753,10.45206966
53.09026917,30.79201582,52.91747298,4.302838481,24.3853117,4.149895915
21.01234336,30.18730288,148.2124911,14.15096938,12.62636599,10.56032935
251.5485682,87.33117444,22.00872349,43.86328717,26.21782288,28.75771178
219.9255627,,21.35351047,30.8911504,11.15481557,10.77061784
13.73330085,,37.76747596,42.94212538,12.63096565,15.40126473
32.54472384,,254.0624226,48.77728282,13.44734077,8.0420261
29.60475932,,156.5356955,34.47127494,12.07369779,10.29376747
151.5050973,,41.4972364,12.28119347,11.47101214,17.16603599
61.89008558,,54.46942388,100.3768451,14.69128495,7.616204202
161.234432,,30.23003793,65.392668,10.13388353,7.940891444
21.89497711,,249.0574801,80.8791357,12.54473652,10.03905922
157.3309085,,44.05113575,45.52833147,12.89666492,11.12447273
82.01511206,,163.0722549,16.52302874,27.96810508,13.4601009
55.3451818,,54.47526119,5.524625963,10.63619572,13.1957175
60.76540446,,40.05683609,11.1170815,14.86266696,11.4098497
195.9630908,,51.08845646,11.43407853,25.83488691,29.16043707
81.71571969,,24.90588866,32.74292096,21.57020422,9.635950545
46.41582861,,80.31587842,37.08098947,10.95222224,9.964279608
69.13493195,,26.71986207,21.02255895,10.68551536,6.889748888
269.9745654,,33.64085629,38.56399529,11.34529681,13.23247086
44.76376891,,46.61235307,141.9002953,24.87448564,17.72655209
54.20640427,,83.44248109,13.84766064,18.27858709,11.84071493
57.72491406,,192.6635383,25.79571237,21.64841263,9.878618748
60.87052444,,71.93978087,10.37706899,16.16299645,7.150162427
32.59905558,,31.58848877,22.92947964,9.319862502,10.52999795
47.82669644,,80.26522468,19.56012282,16.04642417,14.57840582
,,,,,11.24297305
,,,,,8.880406422
,,,,,6.09179992
